기간	자치구	동	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원
기간	자치구	동	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장
2015	합계	합계	274,132	70,561	2,367	7,475	122,831	55,916	852	14,130	238,103	62,556	2,088	6,327	105,478	50,061	752	10,841
2015	종로구	소계	4,867	1,986	119	149	944	148	-	1,521	4,070	1,741	92	144	787	125	-	1,181
2015	종로구	사직동	689	101	42	-	58	-	-	488	558	92	36	-	53	-	-	377
2015	종로구	삼청동	32	32	-	-	-	-	-	-	30	30	-	-	-	-	-	-
2015	종로구	부암동	128	128	-	-	-	-	-	-	116	116	-	-	-	-	-	-
2015	종로구	평창동	195	123	-	-	33	39	-	-	183	114	-	-	32	37	-	-
2015	종로구	무악동	435	175	-	-	240	20	-	-	368	157	-	-	199	12	-	-
2015	종로구	교남동	202	163	-	-	39	-	-	-	179	142	-	-	37	-	-	-
2015	종로구	가회동	227	49	-	-	80	-	-	98	189	47	-	-	72	-	-	70
2015	종로구	종로1.2.3.4가동	358	-	-	100	-	-	-	258	296	-	-	99	-	-	-	197
2015	종로구	종로5·6가동	237	35	-	-	153	-	-	49	167	21	-	-	113	-	-	33
2015	종로구	이화동	274	132	-	-	39	-	-	103	220	111	-	-	36	-	-	73
2015	종로구	창신1동	180	83	77	-	-	20	-	-	151	75	56	-	-	20	-	-
2015	종로구	창신2동	394	281	-	49	44	20	-	-	322	237	-	45	32	8	-	-
2015	종로구	창신3동	116	96	-	-	-	20	-	-	84	65	-	-	-	19	-	-
2015	종로구	숭인1동	218	117	-	-	101	-	-	-	189	108	-	-	81	-	-	-
2015	종로구	숭인2동	120	52	-	-	-	29	-	39	102	50	-	-	-	29	-	23
2015	종로구	청운효자동	695	170	-	-	39	-	-	486	588	144	-	-	36	-	-	408
2015	종로구	혜화동	367	249	-	-	118	-	-	-	328	232	-	-	96	-	-	-
2015	중구	소계	4,067	1,765	-	419	458	297	-	1,128	3,476	1,552	-	357	415	289	-	863
2015	중구	소공동	479	-	-	-	-	-	-	479	374	-	-	-	-	-	-	374
2015	중구	회현동	166	87	-	-	-	-	-	79	118	69	-	-	-	-	-	49
2015	중구	명동	401	-	-	-	-	-	-	401	334	-	-	-	-	-	-	334
2015	중구	필동	128	79	-	-	-	-	-	49	74	66	-	-	-	-	-	8
2015	중구	장충동	116	67	-	49	-	-	-	-	102	56	-	46	-	-	-	-
2015	중구	광희동	219	99	-	-	-	-	-	120	181	83	-	-	-	-	-	98
2015	중구	을지로동	131	52	-	79	-	-	-	-	76	31	-	45	-	-	-	-
2015	중구	신당5동	358	170	-	75	113	-	-	-	311	142	-	61	108	-	-	-
2015	중구	황학동	268	176	-	-	32	60	-	-	243	156	-	-	28	59	-	-
2015	중구	중림동	270	128	-	84	-	58	-	-	253	121	-	75	-	57	-	-
2015	중구	신당동	154	115	-	-	39	-	-	-	132	106	-	-	26	-	-	-
2015	중구	다산동	309	195	-	49	52	13	-	-	269	168	-	48	40	13	-	-
2015	중구	약수동	514	261	-	83	111	59	-	-	495	248	-	82	107	58	-	-
2015	중구	청구동	264	131	-	-	75	58	-	-	247	121	-	-	70	56	-	-
2015	중구	동화동	290	205	-	-	36	49	-	-	267	185	-	-	36	46	-	-
2015	용산구	소계	5,554	1,601	89	374	1,874	977	33	606	4,883	1,451	82	346	1,585	919	22	478
2015	용산구	후암동	642	153	52	69	295	73	-	-	564	135	48	59	249	73	-	-
2015	용산구	용산2가동	272	170	-	-	84	18	-	-	223	134	-	-	71	18	-	-
2015	용산구	남영동	120	34	37	-	-	-	-	49	97	34	34	-	-	-	-	29
2015	용산구	원효로2동	326	89	-	40	58	139	-	-	302	79	-	33	57	133	-	-
2015	용산구	효창동	405	79	-	20	274	32	-	-	379	79	-	18	251	31	-	-
2015	용산구	용문동	410	70	-	40	220	80	-	-	369	69	-	39	184	77	-	-
2015	용산구	이촌1동	375	-	-	-	119	256	-	-	363	-	-	-	116	247	-	-
2015	용산구	이촌2동	202	104	-	-	39	59	-	-	177	95	-	-	26	56	-	-
2015	용산구	이태원1동	228	-	-	52	65	38	-	73	198	-	-	51	55	24	-	68
2015	용산구	이태원2동	147	109	-	-	38	-	-	-	123	87	-	-	36	-	-	-
2015	용산구	서빙고동	238	166	-	-	22	50	-	-	228	165	-	-	13	50	-	-
2015	용산구	보광동	390	193	-	-	177	20	-	-	277	175	-	-	85	17	-	-
2015	용산구	청파동	622	168	-	84	253	37	-	80	549	159	-	84	226	24	-	56
2015	용산구	원효로1동	304	52	-	49	93	77	33	-	277	50	-	47	84	74	22	-
2015	용산구	한강로동	490	162	-	-	49	20	-	259	429	142	-	-	49	19	-	219
2015	용산구	한남동	383	52	-	20	88	78	-	145	328	48	-	15	83	76	-	106
2015	성동구	소계	8,322	4,009	-	202	2,287	1,519	-	305	7,005	3,282	-	166	1,919	1,401	-	237
2015	성동구	왕십리2동	420	116	-	-	188	116	-	-	379	100	-	-	183	96	-	-
2015	성동구	마장동	673	432	-	-	98	143	-	-	610	394	-	-	87	129	-	-
