기간	자치구	동	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원
기간	자치구	동	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장
2017	합계	합계	268,100	81,612	2,266	6,366	112,384	46,895	928	17,649	234,867	74,098	1,878	5,337	97,215	42,804	795	12,740
2017	종로구	소계	4,702	1,956	119	149	527	90	-	1,861	3,783	1,647	85	123	453	84	-	1,391
2017	종로구	사직동	818	101	42	-	58	-	-	617	648	97	39	-	53	-	-	459
2017	종로구	삼청동	32	32	-	-	-	-	-	-	30	30	-	-	-	-	-	-
2017	종로구	부암동	151	128	-	-	-	-	-	23	119	101	-	-	-	-	-	18
2017	종로구	평창동	195	123	-	-	33	39	-	-	180	108	-	-	33	39	-	-
2017	종로구	무악동	250	175	-	-	55	20	-	-	210	156	-	-	38	16	-	-
2017	종로구	교남동	202	163	-	-	39	-	-	-	155	120	-	-	35	-	-	-
2017	종로구	가회동	227	49	-	-	80	-	-	98	172	46	-	-	67	-	-	59
2017	종로구	종로1.2.3.4가동	497	-	-	100	-	-	-	397	380	-	-	95	-	-	-	285
2017	종로구	종로5·6가동	212	-	-	-	114	-	-	98	157	-	-	-	104	-	-	53
2017	종로구	이화동	235	132	-	-	-	-	-	103	181	104	-	-	-	-	-	77
2017	종로구	창신1동	180	83	77	-	-	20	-	-	132	67	46	-	-	19	-	-
2017	종로구	창신2동	330	281	-	49	-	-	-	-	250	222	-	28	-	-	-	-
2017	종로구	창신3동	116	116	-	-	-	-	-	-	89	89	-	-	-	-	-	-
2017	종로구	숭인1동	147	117	-	-	30	-	-	-	134	113	-	-	21	-	-	-
2017	종로구	숭인2동	102	52	-	-	-	11	-	39	76	46	-	-	-	10	-	20
2017	종로구	청운효자동	656	170	-	-	-	-	-	486	561	141	-	-	-	-	-	420
2017	종로구	혜화동	352	234	-	-	118	-	-	-	309	207	-	-	102	-	-	-
2017	중구	소계	4,279	1,932	-	378	419	264	-	1,286	3,509	1,699	-	334	364	248	-	864
2017	중구	소공동	400	-	-	-	-	-	-	400	296	-	-	-	-	-	-	296
2017	중구	회현동	294	93	-	-	-	-	-	201	194	85	-	-	-	-	-	109
2017	중구	명동	516	-	-	-	-	-	-	516	356	-	-	-	-	-	-	356
2017	중구	필동	128	79	-	-	-	-	-	49	73	63	-	-	-	-	-	10
2017	중구	장충동	116	67	-	49	-	-	-	-	103	55	-	48	-	-	-	-
2017	중구	광희동	219	99	-	-	-	-	-	120	174	81	-	-	-	-	-	93
2017	중구	을지로동	131	52	-	79	-	-	-	-	74	22	-	52	-	-	-	-
2017	중구	신당5동	278	170	-	34	74	-	-	-	253	151	-	29	73	-	-	-
2017	중구	황학동	319	227	-	-	32	60	-	-	280	189	-	-	31	60	-	-
2017	중구	중림동	321	179	-	84	-	58	-	-	298	168	-	73	-	57	-	-
2017	중구	신당동	163	124	-	-	39	-	-	-	144	118	-	-	26	-	-	-
2017	중구	다산동	309	195	-	49	52	13	-	-	268	169	-	49	37	13	-	-
2017	중구	약수동	514	261	-	83	111	59	-	-	504	254	-	83	110	57	-	-
2017	중구	청구동	265	151	-	-	75	39	-	-	213	121	-	-	53	39	-	-
2017	중구	동화동	306	235	-	-	36	35	-	-	279	223	-	-	34	22	-	-
2017	용산구	소계	5,554	1,925	89	374	1,432	981	33	720	4,753	1,631	75	316	1,274	915	28	514
2017	용산구	후암동	616	153	52	69	249	93	-	-	562	137	50	65	218	92	-	-
2017	용산구	용산2가동	254	170	-	-	84	-	-	-	191	125	-	-	66	-	-	-
2017	용산구	남영동	131	45	37	-	-	-	-	49	100	45	25	-	-	-	-	30
2017	용산구	원효로2동	402	191	-	40	32	139	-	-	329	170	-	16	28	115	-	-
2017	용산구	효창동	366	100	-	20	214	32	-	-	345	99	-	19	200	27	-	-
2017	용산구	용문동	346	90	-	40	156	60	-	-	313	88	-	36	130	59	-	-
2017	용산구	이촌1동	395	-	-	-	119	276	-	-	383	-	-	-	111	272	-	-
2017	용산구	이촌2동	222	124	-	-	39	59	-	-	179	105	-	-	20	54	-	-
2017	용산구	이태원1동	230	-	-	52	65	40	-	73	215	-	-	51	60	38	-	66
2017	용산구	이태원2동	147	109	-	-	38	-	-	-	125	95	-	-	30	-	-	-
2017	용산구	서빙고동	238	166	-	-	22	50	-	-	212	150	-	-	18	44	-	-
2017	용산구	보광동	314	193	-	-	81	40	-	-	284	178	-	-	70	36	-	-
2017	용산구	청파동	560	168	-	84	191	37	-	80	502	152	-	78	184	28	-	60
2017	용산구	원효로1동	364	112	-	49	93	77	33	-	314	87	-	33	90	76	28	-
2017	용산구	한강로동	535	162	-	-	-	20	-	353	415	148	-	-	-	19	-	248
2017	용산구	한남동	434	142	-	20	49	58	-	165	284	52	-	18	49	55	-	110
2017	성동구	소계	8,243	4,173	-	202	2,199	1,336	-	333	7,264	3,760	-	158	1,876	1,270	-	200
2017	성동구	왕십리2동	426	181	-	-	188	57	-	-	409	170	-	-	185	54	-	-
2017	성동구	마장동	665	423	-	-	98	144	-	-	611	385	-	-	85	141	-	-
2017	성동구	사근동	122	108	-	-	-	14	-	-	99	94	-	-	-	5	-	-
2017	성동구	행당1동	476	222	-	-	65	59	-	130	430	205	-	-	51	57	-	117
2017	성동구	행당2동	603	215	-	-	159	229	-	-	547	196	-	-	129	222	-	-
2017	성동구	응봉동	326	114	-	79	60	73	-	-	266	107	-	52	39	68	-	-
2017	성동구	금호1가동	606	331	-	79	80	116	-	-	546	309	-	77	61	99	-	-
2017	성동구	금호4가동	345	104	-	-	122	119	-	-	319	90	-	-	111	118	-	-
2017	성동구	성수1가1동	316	203	-	44	69	-	-	-	278	187	-	29	62	-	-	-
2017	성동구	성수1가2동	393	107	-	-	208	78	-	-	362	102	-	-	186	74	-	-
2017	성동구	성수2가1동	333	88	-	-	199	19	-	27	317	79	-	-	195	17	-	26
2017	성동구	성수2가3동	363	95	-	-	169	20	-	79	282	82	-	-	140	20	-	40
2017	성동구	송정동	318	183	-	-	116	19	-	-	236	137	-	-	80	19	-	-
2017	성동구	용답동	614	263	-	-	267	35	-	49	520	240	-	-	241	32	-	7
2017	성동구	왕십리도선동	975	553	-	-	216	158	-	48	815	505	-	-	151	149	-	10
2017	성동구	금호2.3가동	670	451	-	-	160	59	-	-	614	405	-	-	150	59	-	-
2017	성동구	옥수동	692	532	-	-	23	137	-	-	613	467	-	-	10	136	-	-
2017	광진구	소계	9,203	2,343	-	147	5,265	1,231	85	132	7,951	2,092	-	67	4,541	1,103	55	93
2017	광진구	화양동	413	120	-	-	293	-	-	-	358	110	-	-	248	-	-	-
2017	광진구	군자동	709	99	-	98	411	70	-	31	503	94	-	37	328	31	-	13
2017	광진구	중곡1동	304	147	-	-	141	16	-	-	270	129	-	-	125	16	-	-
2017	광진구	중곡2동	595	159	-	-	397	39	-	-	553	149	-	-	366	38	-	-
2017	광진구	중곡3동	966	266	-	-	700	-	-	-	752	207	-	-	545	-	-	-
2017	광진구	중곡4동	868	171	-	-	532	129	36	-	789	163	-	-	491	112	23	-
2017	광진구	능동	248	187	-	-	21	40	-	-	194	135	-	-	21	38	-	-
2017	광진구	구의1동	483	135	-	-	328	20	-	-	436	111	-	-	308	17	-	-
2017	광진구	구의2동	681	79	-	-	501	52	49	-	585	75	-	-	427	51	32	-
2017	광진구	구의3동	593	195	-	-	204	194	-	-	541	184	-	-	168	189	-	-
2017	광진구	광장동	608	179	-	20	106	254	-	49	553	170	-	19	101	228	-	35
2017	광진구	자양1동	731	96	-	29	498	56	-	52	643	86	-	11	449	52	-	45
2017	광진구	자양2동	573	156	-	-	284	133	-	-	518	142	-	-	257	119	-	-
2017	광진구	자양3동	792	199	-	-	422	171	-	-	721	192	-	-	373	156	-	-
2017	광진구	자양4동	639	155	-	-	427	57	-	-	535	145	-	-	334	56	-	-
2017	동대문구	소계	9,413	3,104	-	204	3,968	1,786	-	351	8,167	2,759	-	164	3,385	1,626	-	233
2017	동대문구	회기동	247	83	-	-	-	54	-	110	199	80	-	-	-	49	-	70
2017	동대문구	휘경1동	311	49	-	-	183	79	-	-	234	39	-	-	142	53	-	-
2017	동대문구	휘경2동	687	119	-	99	242	192	-	35	592	105	-	89	220	162	-	16
2017	동대문구	청량리동	465	194	-	-	152	80	-	39	371	149	-	-	111	77	-	34
2017	동대문구	용신동	723	204	-	-	372	59	-	88	667	183	-	-	346	57	-	81
2017	동대문구	제기동	649	297	-	-	233	119	-	-	537	258	-	-	173	106	-	-
2017	동대문구	전농1동	650	202	-	49	322	77	-	-	535	182	-	29	249	75	-	-
2017	동대문구	전농2동	443	180	-	-	127	136	-	-	407	173	-	-	110	124	-	-
2017	동대문구	답십리1동	858	452	-	-	312	94	-	-	792	398	-	-	301	93	-	-
2017	동대문구	답십리2동	822	109	-	56	500	157	-	-	725	99	-	46	431	149	-	-
2017	동대문구	장안1동	1,392	599	-	-	449	295	-	49	1,235	531	-	-	398	290	-	16
2017	동대문구	장안2동	968	365	-	-	385	218	-	-	871	326	-	-	351	194	-	-
2017	동대문구	이문1동	519	110	-	-	284	95	-	30	393	109	-	-	181	87	-	16
2017	동대문구	이문2동	679	141	-	-	407	131	-	-	609	127	-	-	372	110	-	-
2017	중랑구	소계	11,862	3,092	114	276	6,328	1,894	-	158	10,467	2,845	79	253	5,451	1,700	-	139
2017	중랑구	면목2동	769	99	-	-	614	56	-	-	646	94	-	-	498	54	-	-
2017	중랑구	면목4동	619	207	-	-	354	58	-	-	511	182	-	-	276	53	-	-
